datetime,temp,feelslike,dew,humidity,precip,preciptype,snow,windspeed,winddir,cloudcover
2023-01-01,2.9,1.9,2,93.9,0.029,rain,0,12.5,282.2,72
2023-01-02,2,-1,0.2,88.4,0.046,"rain,snow",0,23.3,158.3,53.6
2023-01-03,9.2,7.5,8.6,95.6,1.263,rain,0,29.7,200.6,94.2
2023-01-04,9.3,7.3,7.8,90.3,1.152,rain,0,28,238.6,82.5
2023-01-05,8.5,6.3,6.8,89.6,0.616,rain,0,42.3,215.3,85.3
2023-01-06,7.1,4.1,5.4,89,0.339,rain,0,25.7,188.8,78.8
2023-01-07,5.4,1.4,3.5,87.5,1.561,rain,0,37.9,190.8,71.7
2023-01-08,5.7,2,3,82.8,0.482,rain,0,28.5,225.2,75.6
2023-01-09,5.4,1.4,2.6,82.2,0.276,rain,0,44.4,270.5,77.5
2023-01-10,7.9,5.3,6.6,91.5,3.589,rain,0,43,221.7,84.8
2023-01-11,6.7,3.1,4.1,83.5,0.919,rain,0,39.2,248.9,76.2
2023-01-12,7.7,3.3,5.1,84,2.321,rain,0,48.3,247.5,81.6
2023-01-13,6.9,3.4,4.7,86.4,3.159,rain,0,36.3,242.5,79.5
2023-01-14,4.2,-0.3,2.2,86.7,2.395,rain,0.1,34.3,261.5,72.5
2023-01-15,3.3,0.7,2.2,93.2,0.694,rain,0,24,273.2,77.7
2023-01-16,0,-1.3,-1.2,91.5,0.206,"rain,snow",0.1,12.5,341.2,70.6
2023-01-17,-0.4,-3.5,-1.8,90.3,0.117,"rain,snow",0,20.3,303.1,58.1
2023-01-18,1.7,-1.9,-0.1,88.3,2.41,"rain,snow",0.2,26.4,305.9,77.6
2023-01-19,0.8,-0.6,-0.5,91,0.136,"rain,snow",0,11.7,272,65.2
2023-01-20,2.3,-0.7,1.6,95.1,0.014,rain,0,15.4,137,94.5
2023-01-21,8.1,5,7.6,96.5,0.152,rain,0,29.2,177.9,97.7
2023-01-22,8.4,6.6,8,97.4,0.473,rain,0,24,186.4,91.1
2023-01-23,7.7,5.9,7.5,98.6,0.039,rain,0,14.8,184.8,95.3
2023-01-24,8.5,6.6,8.2,98,0.071,rain,0,17.6,203.7,96.3
2023-01-25,7.6,5.3,5.7,88.2,0.206,rain,0,20.5,298,80.8
2023-01-26,6.1,4.7,2.3,76.8,0,,0,15.6,341.3,87.4
2023-01-27,5.2,4,2.7,84.1,0.029,rain,0,14.8,212.8,92.8
2023-01-28,6.4,4.7,5,90.9,0.185,rain,0,11.9,265.8,89.1
2023-01-29,7.2,4.9,5.3,87.9,0.049,rain,0,32.6,250.8,86.4
2023-01-30,7.3,4.5,4.4,82.3,0.011,rain,0,22.3,242.5,89.2
2023-01-31,7.3,3.4,3.8,78.4,0.245,rain,0,35.9,268.4,79
2023-02-01,8.5,5.1,5.2,80,0.446,rain,0,32.8,255,84.9
2023-02-02,9.5,7.4,7.7,88.5,0.094,rain,0,30.5,232.2,91.2
2023-02-03,9.7,8.1,8.4,91.5,0.109,rain,0,24.8,217.8,88.1
2023-02-04,6.7,4.3,4.4,85,0.489,rain,0,24.4,233.8,70.7
2023-02-05,2.7,0,0.9,88.4,0,,0,20.8,165.6,43.7
